Date,Open,High,Low,Close,Adj Close,Volume
2017-02-23,123.599998,124.099998,122.849998,123.400002,119.662445,1525197
2017-02-24,122.849998,124.349998,121.099998,121.750000,118.062416,2212938
2017-02-27,122.000000,122.550003,121.550003,122.199997,118.498787,1077533
2017-02-28,122.349998,122.900002,121.699997,122.800003,119.080620,1564158
2017-03-01,123.650002,126.000000,123.500000,126.000000,122.183693,2298492
2017-03-02,125.750000,126.500000,124.800003,125.099998,121.310951,1401228
2017-03-03,124.400002,125.349998,123.949997,124.750000,120.971550,1467056
2017-03-06,124.250000,124.300003,122.949997,124.150002,120.389725,1602489
2017-03-07,124.099998,124.449997,123.800003,124.300003,120.535187,1240695
2017-03-08,123.800003,125.150002,123.650002,124.250000,120.486694,1596645
2017-03-09,124.000000,124.449997,123.199997,124.050003,120.292755,1508879
2017-03-10,124.300003,124.449997,122.750000,123.050003,119.323044,1836235
2017-03-13,122.800003,123.750000,122.699997,122.900002,119.177589,1407923
2017-03-14,123.000000,123.150002,122.050003,123.099998,119.371529,1670066
2017-03-15,123.150002,124.199997,123.150002,123.550003,119.807899,1359115
2017-03-16,125.050003,125.400002,123.449997,124.849998,121.068520,2348123
2017-03-17,124.050003,125.199997,123.849998,124.349998,120.583664,5902356
2017-03-20,124.050003,125.000000,123.900002,124.750000,120.971550,1298627
2017-03-21,125.000000,125.349998,122.800003,123.199997,119.468498,1842012
2017-03-22,122.699997,122.750000,121.250000,122.000000,118.304848,2289393
2017-03-23,122.000000,124.099998,121.900002,124.099998,120.341240,1719600
2017-03-24,124.099998,124.800003,123.349998,124.349998,120.583664,1586880
2017-03-27,123.250000,123.599998,121.949997,122.699997,118.983643,1471324
2017-03-28,123.500000,125.150002,123.050003,125.150002,121.359436,1472894
2017-03-29,126.250000,127.099998,125.699997,125.800003,121.989754,1658299
2017-03-30,125.650002,127.949997,125.500000,127.750000,123.880684,1489630
2017-03-31,127.099998,128.399994,126.500000,128.399994,124.510994,2466316
2017-04-03,128.800003,129.300003,127.599998,127.599998,123.735229,1498712
2017-04-04,127.349998,128.850006,127.349998,128.750000,124.850403,1525459
2017-04-05,129.000000,129.500000,127.650002,128.100006,124.220093,1648107
2017-04-06,127.099998,128.949997,126.800003,128.550003,124.656464,1309361
2017-04-07,127.449997,128.550003,126.849998,128.399994,124.510994,1551357
2017-04-10,128.500000,128.649994,127.300003,127.650002,123.783714,1066008
2017-04-11,126.800003,129.800003,126.650002,128.100006,124.220093,1926335
2017-04-12,128.199997,128.649994,127.250000,127.300003,123.444321,1492340
2017-04-13,126.449997,127.199997,125.699997,126.550003,122.717033,1434994
2017-04-18,126.550003,127.300003,124.949997,124.949997,121.165489,1409709
2017-04-19,124.800003,125.349998,124.500000,124.500000,120.729126,1375031
2017-04-20,124.250000,126.250000,123.550003,126.000000,122.183693,1706338
2017-04-21,125.650002,126.699997,125.349998,125.349998,121.553375,2669702
2017-04-24,129.399994,132.750000,128.949997,132.750000,128.729248,4252272
2017-04-25,132.449997,133.100006,131.899994,132.699997,128.680756,2055621
2017-04-26,132.399994,133.350006,131.750000,133.199997,129.165619,1799391
2017-04-27,132.449997,133.399994,132.050003,132.050003,128.050446,1642508
2017-04-28,131.800003,132.899994,131.550003,131.600006,127.614082,1959070
2017-05-02,131.600006,132.750000,131.300003,132.699997,128.680756,1773659
2017-05-03,132.000000,132.699997,131.100006,132.449997,128.438324,1555741
2017-05-04,130.850006,133.500000,130.300003,131.649994,127.662560,1892189
2017-05-05,130.949997,132.000000,129.750000,132.000000,128.001968,2071637
2017-05-08,132.050003,132.199997,130.449997,130.449997,126.498909,1844319
2017-05-09,130.949997,132.199997,130.850006,131.649994,127.662560,1428277
2017-05-10,131.300003,131.699997,130.199997,130.500000,126.547394,1349100
2017-05-11,130.649994,131.649994,129.699997,130.699997,126.741333,1357503
2017-05-12,130.899994,130.949997,129.100006,130.000000,126.062538,1382338
2017-05-15,130.500000,130.699997,129.050003,130.050003,126.111031,1298312
2017-05-16,130.100006,131.300003,129.850006,131.000000,127.032249,1385632
2017-05-17,129.850006,131.100006,128.449997,129.300003,125.383743,1773655
2017-05-18,129.149994,129.399994,127.300003,128.350006,124.462524,2375825
2017-05-19,128.399994,129.399994,126.550003,128.149994,124.268570,2437369
2017-05-22,127.349998,127.949997,126.300003,126.550003,122.717033,1685118
2017-05-23,126.349998,127.599998,126.250000,126.849998,123.007942,1429879
2017-05-24,126.550003,127.800003,126.500000,126.949997,123.104912,1203390
2017-05-25,127.400002,127.849998,125.550003,125.949997,122.135201,1264311
2017-05-26,125.550003,126.400002,124.849998,126.050003,122.232178,1408300
2017-05-29,125.800003,126.699997,125.800003,126.599998,122.765518,607051
2017-05-30,126.000000,127.099998,125.900002,126.400002,122.571579,1297575
2017-05-31,126.599998,127.900002,126.199997,127.050003,123.201889,2266311
2017-06-01,127.050003,127.650002,125.900002,126.849998,123.007942,1364129
2017-06-02,127.500000,129.800003,127.500000,129.500000,125.577682,1687396
2017-06-05,129.500000,129.500000,129.500000,129.500000,125.577682,0
2017-06-06,128.500000,129.100006,127.500000,127.500000,123.638260,1621091
2017-06-07,127.300003,128.149994,126.650002,126.900002,123.056435,1452502
2017-06-08,126.900002,128.149994,126.800003,127.949997,124.074631,1090408
2017-06-09,128.199997,129.550003,128.000000,129.399994,125.480705,1412237
2017-06-12,129.000000,129.000000,126.050003,126.250000,122.426117,1756174
2017-06-13,126.750000,126.750000,126.000000,126.750000,122.910973,1466635
2017-06-14,127.099998,128.649994,126.750000,126.750000,122.910973,1890769
2017-06-15,126.500000,126.849998,125.449997,125.699997,121.892776,2396839
2017-06-16,126.000000,126.449997,122.099998,124.550003,120.777611,7097648
2017-06-19,125.349998,126.900002,125.300003,126.500000,122.668549,1592980
2017-06-20,127.250000,127.900002,125.150002,125.150002,121.359436,1565811
2017-06-21,124.800003,125.050003,123.650002,124.449997,120.680634,1461584
2017-06-22,124.000000,125.550003,123.349998,125.199997,121.407921,1716604
2017-06-23,124.849998,125.650002,123.849998,124.750000,120.971550,1126893
2017-06-26,124.900002,126.900002,124.900002,125.900002,122.086723,1378521
2017-06-27,125.849998,126.150002,124.099998,124.099998,120.341240,1428760
2017-06-28,123.449997,123.900002,122.250000,123.199997,119.468498,1506231
2017-06-29,123.900002,124.400002,120.500000,120.550003,116.898766,2033903
2017-06-30,120.400002,122.900002,119.800003,120.349998,116.704819,2500287
2017-07-03,121.000000,123.150002,120.849998,123.099998,119.371529,1473541
2017-07-04,122.400002,123.099998,121.849998,121.849998,118.159386,961952
2017-07-05,122.150002,122.900002,121.500000,122.000000,118.304848,1580461
2017-07-06,122.000000,122.099998,119.550003,120.500000,116.850273,2603303
2017-07-07,120.250000,120.949997,119.900002,120.849998,117.189674,1513607
2017-07-10,121.599998,121.800003,120.599998,121.050003,117.383621,1119002
2017-07-11,121.199997,121.849998,120.099998,120.550003,116.898766,1450367
2017-07-12,121.000000,123.750000,120.650002,122.800003,119.080620,1922536
2017-07-13,122.800003,122.949997,120.250000,120.500000,116.850273,2744525
2017-07-14,121.000000,121.000000,119.949997,120.300003,116.656334,1743255
2017-07-17,120.349998,120.500000,118.550003,119.000000,115.395706,1679251
2017-07-18,118.300003,118.800003,116.650002,117.949997,114.377510,2588402
2017-07-19,118.199997,118.449997,116.150002,116.599998,113.068398,2648845
2017-07-20,117.099998,120.150002,116.949997,118.099998,114.522964,2722018
2017-07-21,117.800003,118.500000,115.250000,115.949997,112.438087,3478668
2017-07-24,115.949997,117.500000,115.900002,116.349998,112.825974,2101515
2017-07-25,116.050003,117.650002,115.949997,117.250000,113.698715,1732370
2017-07-26,117.199997,118.050003,116.900002,117.300003,113.747200,1590854
2017-07-27,116.449997,117.300003,115.349998,115.800003,112.292633,2408226
2017-07-28,115.150002,116.599998,115.000000,115.750000,112.244148,2059393
2017-07-31,115.050003,116.300003,114.599998,114.750000,111.274437,2163801
2017-08-01,115.449997,117.199997,115.099998,116.449997,112.922943,1823195
2017-08-02,117.000000,117.099998,115.599998,116.050003,112.535065,1845744
2017-08-03,114.099998,114.199997,112.099998,112.500000,109.092583,4048298
2017-08-04,112.199997,112.300003,111.050003,111.550003,108.171356,3599186
2017-08-07,111.900002,112.250000,110.599998,111.250000,107.880440,1929915
2017-08-08,111.400002,112.550003,110.900002,112.000000,108.607727,2217164
2017-08-09,111.000000,111.650002,110.349998,110.449997,107.104668,2649001
2017-08-10,110.449997,110.500000,108.449997,108.599998,105.310707,3082825
2017-08-11,108.400002,109.949997,108.000000,109.199997,105.892532,2711540
2017-08-14,109.949997,110.800003,109.250000,110.199997,106.862244,1976801
2017-08-15,110.599998,110.949997,109.900002,110.050003,106.716789,1387502
2017-08-16,110.849998,113.599998,110.500000,112.349998,108.947121,2698862
2017-08-17,112.150002,112.699997,111.449997,111.449997,108.074379,1738769
2017-08-18,110.650002,111.800003,110.300003,111.300003,107.928932,2357250
2017-08-21,111.000000,111.449997,110.550003,111.099998,107.734985,1482927
2017-08-22,112.199997,112.949997,111.449997,112.949997,109.528946,1911146
2017-08-23,112.849998,113.250000,112.050003,112.150002,108.753181,1503262
2017-08-24,112.500000,112.550003,111.550003,111.650002,108.268326,1375489
2017-08-25,112.000000,112.150002,110.849998,110.849998,107.492554,1261519
2017-08-28,110.500000,111.150002,110.000000,110.900002,107.541046,1183426
2017-08-29,110.250000,110.349998,108.500000,108.699997,105.407677,2888803
2017-08-30,109.699997,109.800003,109.050003,109.300003,105.989510,1451646
