Party,Member,yes,no,absent,Vote
CDU/CSU,Abercron,1,0,0,yes
CDU/CSU,Albani,1,0,0,yes
CDU/CSU,Altenkamp,1,0,0,yes
CDU/CSU,Altmaier,0,0,0,absent
CDU/CSU,Amthor,1,0,0,yes
CDU/CSU,Auernhammer,1,0,0,yes
CDU/CSU,Aumer,1,0,0,yes
CDU/CSU,Bär,1,0,0,yes
CDU/CSU,Bareiß,1,0,0,yes
CDU/CSU,Barthle,1,0,0,yes
CDU/CSU,Beermann,1,0,0,yes
CDU/CSU,Behrens (Börde),0,0,0,absent
CDU/CSU,Bellmann,1,0,0,yes
CDU/CSU,Benning,1,0,0,yes
CDU/CSU,Berghegger,1,0,0,yes
CDU/CSU,Bernstein,1,0,0,yes
CDU/CSU,Bernstiel,1,0,0,yes
CDU/CSU,Beyer,1,0,0,yes
CDU/CSU,Biadacz,1,0,0,yes
CDU/CSU,Bilger,1,0,0,yes
CDU/CSU,Bleser,1,0,0,yes
CDU/CSU,Brackmann,1,0,0,yes
CDU/CSU,Brand (Fulda),1,0,0,yes
CDU/CSU,Brandl,1,0,0,yes
CDU/CSU,Brauksiepe,1,0,0,yes
CDU/CSU,Braun,1,0,0,yes
CDU/CSU,Breher,1,0,0,yes
CDU/CSU,Brehm,1,0,0,yes
CDU/CSU,Brehmer,1,0,0,yes
CDU/CSU,Brinkhaus,1,0,0,yes
CDU/CSU,Brodesser,1,0,0,yes
CDU/CSU,Connemann,1,0,0,yes
CDU/CSU,Damerow,1,0,0,yes
CDU/CSU,Dobrindt,1,0,0,yes
CDU/CSU,Donth,1,0,0,yes
CDU/CSU,Dött,1,0,0,yes
CDU/CSU,Durz,1,0,0,yes
CDU/CSU,Erndl,1,0,0,yes
CDU/CSU,Färber,1,0,0,yes
CDU/CSU,Feiler,1,0,0,yes
CDU/CSU,Ferlemann,1,0,0,yes
CDU/CSU,Fischer (Karlsruhe-Land),1,0,0,yes
CDU/CSU,Flachsbarth,1,0,0,yes
CDU/CSU,Frei,1,0,0,yes
CDU/CSU,Friedrich (Hof),1,0,0,yes
CDU/CSU,Frieser,1,0,0,yes
CDU/CSU,Fuchtel,1,0,0,yes
CDU/CSU,Gädechens,1,0,0,yes
CDU/CSU,Gebhart,1,0,0,yes
CDU/CSU,Gerig,1,0,0,yes
CDU/CSU,Gienger,1,0,0,yes
CDU/CSU,Gnodtke,1,0,0,yes
CDU/CSU,Groden-Kranich,1,0,0,yes
CDU/CSU,Gröhe,1,0,0,yes
CDU/CSU,Gröhler,1,0,0,yes
CDU/CSU,Grosse-Brömer,1,0,0,yes
CDU/CSU,Grotelüschen,1,0,0,yes
CDU/CSU,Grübel,1,0,0,yes
CDU/CSU,Grund,1,0,0,yes
CDU/CSU,Grundmann,1,0,0,yes
CDU/CSU,Grütters,1,0,0,yes
CDU/CSU,Güntzler,1,0,0,yes
CDU/CSU,Gutting,1,0,0,yes
CDU/CSU,Haase,1,0,0,yes
CDU/CSU,Hahn,1,0,0,yes
CDU/CSU,Harbarth,1,0,0,yes
CDU/CSU,Hardt,1,0,0,yes
CDU/CSU,Hauer,1,0,0,yes
CDU/CSU,Hauptmann,1,0,0,yes
CDU/CSU,Heider,1,0,0,yes
CDU/CSU,Heil,1,0,0,yes
CDU/CSU,Heilmann,1,0,0,yes
CDU/CSU,Heinrich (Chemnitz),1,0,0,yes
CDU/CSU,Helfrich,1,0,0,yes
CDU/CSU,Henke,1,0,0,yes
CDU/CSU,Hennrich,1,0,0,yes
CDU/CSU,Henrichmann,1,0,0,yes
