"Assemblyman";"Party";"Vote"
"Albani, Stephan";"CDU/CSU";"Ja"
"Albsteiger, Katrin";"CDU/CSU";"Nein"
"Altmaier, Peter";"CDU/CSU";"Ja"
"Auernhammer, Artur";"CDU/CSU";"Nein"
"Bär, Dorothee";"CDU/CSU";"Nein"
"Bareiß, Thomas";"CDU/CSU";"Nein"
"Barthle, Norbert";"CDU/CSU";"Nein"
"Baumann, Günter";"CDU/CSU";"Nein"
"Beermann, Maik";"CDU/CSU";"Ja"
"Behrens, Manfred";"CDU/CSU";"Nein"
"Bellmann, Veronika";"CDU/CSU";"Nein"
"Benning, Sybille";"CDU/CSU";"Ja"
"Berghegger, Dr. André";"CDU/CSU";"Nein"
"Bergner, Dr. Christoph";"CDU/CSU";"Nein"
"Bertram, Ute";"CDU/CSU";"Nein"
"Beyer, Peter";"CDU/CSU";"Nicht abg."
"Bilger, Steffen";"CDU/CSU";"Nein"
"Binninger, Clemens";"CDU/CSU";"Nein"
"Bleser, Peter";"CDU/CSU";"Nein"
"Böhmer, Prof. Dr. Maria";"CDU/CSU";"Ja"
"Bosbach, Wolfgang";"CDU/CSU";"Nein"
"Brackmann, Norbert";"CDU/CSU";"Nein"
"Brähmig, Klaus";"CDU/CSU";"Nein"
"Brand, Michael";"CDU/CSU";"Nein"
"Brandl, Dr. Reinhard";"CDU/CSU";"Nein"
"Brandt, Helmut";"CDU/CSU";"Nein"
"Brauksiepe, Dr. Ralf";"CDU/CSU";"Nein"
"Braun, Prof. Dr. Helge";"CDU/CSU";"Nein"
"Brehmer, Heike";"CDU/CSU";"Nein"
"Brinkhaus, Ralph";"CDU/CSU";"Nein"
"Caesar, Cajus";"CDU/CSU";"Nein"
"Connemann, Gitta";"CDU/CSU";"Ja"
"Dinges-Dierig, Alexandra";"CDU/CSU";"Ja"
"Dobrindt, Alexander";"CDU/CSU";"Nein"
"Donth, Michael";"CDU/CSU";"Nein"
"Dörflinger, Thomas";"CDU/CSU";"Nein"
"Dött, Marie-Luise";"CDU/CSU";"Nein"
"Durz, Hansjörg";"CDU/CSU";"Nein"
"Eberl, Iris";"CDU/CSU";"Nein"
"Eckenbach, Jutta";"CDU/CSU";"Nein"
"Fabritius, Dr. Dr. h.c. Bernd";"CDU/CSU";"Ja"
"Färber, Hermann";"CDU/CSU";"Nein"
"Feiler, Uwe";"CDU/CSU";"Nein"
